timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:33:35.556939,138.219.201.243,24192,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:36.147147,138.219.201.243,24210,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:36.718468,138.219.201.243,24232,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:37.300587,138.219.201.243,24243,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:37.891143,138.219.201.243,24258,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:38.495796,138.219.201.243,24282,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:39.084868,138.219.201.243,24295,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:39.674085,138.219.201.243,59912,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:40.254264,138.219.201.243,24326,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:40.871563,138.219.201.243,59924,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:41.452529,138.219.201.243,24359,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:42.053914,138.219.201.243,24368,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:42.656963,138.219.201.243,24394,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:43.237001,138.219.201.243,24409,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:43.812968,138.219.201.243,24425,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:44.414726,138.219.201.243,59958,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:45.022236,138.219.201.243,24453,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:45.609645,138.219.201.243,24479,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:46.199764,138.219.201.243,24490,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:46.794563,138.219.201.243,24504,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:47.388760,138.219.201.243,59987,192.168.128.2,445,smbd,tcp,accept
